Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event
Olga Alekseyevna Zaytseva (-Augustin),F,27.0,_N1,66.0,Russia,_N73,2006 Winter,2006,Winter,Torino,_N48,Biathlon Women's 7.5 kilometres Sprint
"Vasiliki ""Viky"" Arvaniti",F,19.0,177.0,68.0,Greece-1,GRE,2004 Summer,2004,Summer,_N17,Beach Volleyball,Beach Volleyball Women's Beach Volleyball
"Marcelo Jos ""Marcelinho Paulista"" de Souza",M,22.0,175.0,72.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football
Yan Tai-San,M,26.0,157.0,54.0,Chinese Taipei,TPE,_N88,1964,Summer,Tokyo,_N93,Gymnastics Men's Rings
Anthony Lee Ervin,M,19.0,191.0,80.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
Alexander Dale Oen,M,19.0,190.0,80.0,Norway,NOR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke
Anna Borgqvist,F,21.0,163.0,63.0,Sweden,SWE,_N77,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey
Vladimir Nikolayevich Marchenko,M,23.0,169.0,63.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Team All-Around
Apolo Anton Ohno,M,19.0,173.0,68.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay"
Pawe Baraszkiewicz,M,31.0,174.0,86.0,Poland,POL,_N31,_N4,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
Mara Zini,F,22.0,169.0,53.0,_N72,ITA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres"
Santiago Botero Echeverry,M,35.0,175.0,75.0,Colombia,COL,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Individual Time Trial
Stijn Camiel De Smet,M,23.0,183.0,73.0,Belgium,BEL,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football
Per Olov Bengtsson,M,26.0,189.0,82.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 10,000 metres"
Aleksandra Miciul,F,17.0,179.0,64.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Backstroke
Lucy Glanville,F,19.0,157.0,58.0,Australia,AUS,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 15 kilometres
Simona Koch,F,24.0,164.0,50.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Diving,Diving Women's Springboard
"William ""Bill"" Waugh",M,27.0,185.0,84.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey
Monette Simone Russo,F,16.0,149.0,40.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault
Romanos Iasonas Alyfantis,M,22.0,183.0,73.0,Greece,GRE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Individual Medley
Peter Immesberger,M,28.0,176.0,100.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Heavyweight I
Bartosz Jurecki,M,37.0,192.0,107.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball
Harald Eggers,M,26.0,172.0,62.0,East Germany,GDR,1968 Summer,1968,Summer,_N58,Athletics,_N46
Mikls Meszna,M,27.0,181.0,78.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Sabre, Team"
Eva Boskov-Vchtov (-Hlavkov),F,28.0,162.0,59.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,_N24,Gymnastics,Gymnastics Women's Floor Exercise
Juan de la Cruz Labrin Baeza,M,35.0,171.0,78.0,Argentina,ARG,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
Neil Martin Kilkenny,M,22.0,177.0,70.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football
Erich Wanner,M,27.0,159.0,58.0,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Rings
"Bennet Nathaniel ""Nate"" Lubell",M,31.0,178.0,79.0,United States,USA,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Foil, Team"
Chad Michael Biafore,M,29.0,182.0,84.0,Italy,ITA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey
Liu Shuzhen,F,22.0,168.0,62.0,_N66,CHN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Long Jump
Mireia Gutirrez Cabanes,F,21.0,162.0,60.0,Andorra,AND,_N6,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Combined
Isabela Maria Moreira Onyshko,F,18.0,157.0,50.0,_N89,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around
"Gary Wayne Hall, Sr.",M,17.0,186.0,74.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Individual Medley
Ryuichi Sugiyama,M,23.0,168.0,67.0,Japan,_N28,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football
Carole Hlne Merle (-Pellet),F,24.0,160.0,57.0,France,_N34,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Combined
Yuliya Sergeyevna Pavlovich-Yelsakova,F,23.0,161.0,52.0,Belarus,BLR,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres
Cyprien Richard,M,31.0,177.0,78.0,France,FRA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom
Shigekazu Omori,M,24.0,180.0,62.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres
Richard Len Vizcaya,M,28.0,180.0,73.0,Venezuela,VEN,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Lightweight
Ivars Ciaguns,M,24.0,184.0,90.0,Latvia,LAT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom
Zsolt Bubn,M,30.0,194.0,81.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,_N3,"Equestrianism Mixed Three-Day Event, Individual"
aban Sejdi,M,29.0,172.0,74.0,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Freestyle"
Juan Costas Tordera,M,43.0,182.0,103.0,Spain,ESP,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Two Person Keelboat
Iveta Beneov (-Melzer),F,25.0,170.0,56.0,Czech Republic-2,CZE,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Doubles
Kwon Sun-Pil,M,21.0,172.0,69.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey
Jiina Nmcov-Voboilov,F,23.0,175.0,82.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's Discus Throw
Anita Valen (-de Vries),F,35.0,172.0,62.0,Norway,NOR,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Individual Time Trial
Jean-Nol Ferrari,M,30.0,187.0,87.0,France,FRA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Foil, Team"
Katrin Schmidt,F,24.0,180.0,80.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,_N11,Badminton Women's Singles
Franck Piccard,M,23.0,182.0,70.0,France,FRA,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined
Andrew Michael Gill,M,24.0,175.0,80.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Diving,Diving Men's Platform
Gerola Margareta Lindahl (-Sturzenbecker),F,17.0,164.0,56.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Team All-Around
Hayley Marie Wickenheiser,F,27.0,178.0,77.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey
Takeshi Matsuda,M,20.0,184.0,84.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Swimming,"Swimming Men's 1,500 metres Freestyle"
Rainer Schnborn,M,21.0,177.0,66.0,West Germany,FRG,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing
Elisabeth Clara Mller (-Gonalves),F,22.0,176.0,69.0,Brazil,BRA,1948 Summer,1948,Summer,London,Athletics,Athletics Women's Shot Put
Mohamed Sherif El-Saharty,M,21.0,165.0,68.0,Egypt,EGY,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around
Francis Georges Henri Moreau,M,30.0,187.0,77.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Cycling,_N81
Hrvoje Kai,M,28.0,182.0,82.0,Yugoslavia,YUG,1960 Summer,1960,Summer,Roma,Water Polo,_N21
Wu Yanan,F,26.0,169.0,60.0,China,CHN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
David Stokes Brawn,M,22.0,173.0,70.0,Guatemala,GUA,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football
"Gisle Marie ""Gigi"" Marvin",F,26.0,173.0,75.0,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey
"Maxwell Raymond ""Max"" Metzker",M,20.0,179.0,70.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Bernd Kuhn,M,27.0,178.0,83.0,West Germany,FRG,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey
Margarita Dulova,F,26.0,166.0,50.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay
Eleonora Lo Bianco,F,32.0,171.0,67.0,Italy,ITA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball
Enrico Gilardi,M,27.0,193.0,94.0,Italy,ITA,_N92,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball
Michal Malk,M,29.0,178.0,70.0,Slovakia,SVK,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres
Nikolay Petkov Bukhalov,M,25.0,187.0,93.0,Bulgaria,BUL,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, 500 metres"
Gatan T. Boucher,M,17.0,171.0,72.0,Canada,CAN,1976 Winter,1976,Winter,Innsbruck,Speed Skating,Speed Skating Men's 500 metres
Justin Wadsworth,M,29.0,185.0,79.0,United States,USA,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres
Andreas Schltter,M,25.0,185.0,75.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres
Romuald Siemionow,M,26.0,175.0,81.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
Alfred Hagn,M,23.0,178.0,74.0,West Germany,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Downhill
Markus Wiesner,M,23.0,175.0,74.0,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Trampolining,Trampolining Men's Individual
Arthur Schnabel,M,35.0,182.0,104.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Open Class
Renzo Holzer,M,23.0,184.0,84.0,Switzerland,SUI,1976 Winter,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey
Jutta Bettina Stck (-Hertel),F,27.0,178.0,_N44,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 200 metres
Risto Juhani Laakkonen,M,24.0,189.0,62.0,_N95,FIN,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Team"
Shericka Jackson,F,22.0,173.0,61.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay
Helmut Oblinger,M,31.0,180.0,70.0,Austria,AUT,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, Slalom"
Chaunte LaTasha Howard-Lowe,F,32.0,176.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's High Jump
Csar Jasib Montes Castro,M,19.0,191.0,70.0,Mexico,MEX,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football
Leif Hkan Persson,M,25.0,191.0,85.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Freestyle Skiing,Freestyle Skiing Men's Moguls
Ann Elen Skjelbreid,F,26.0,171.0,58.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay
Bai Faquan,M,26.0,173.0,66.0,China,CHN,2012 Summer,2012,Summer,London,Triathlon,Triathlon Men's Olympic Distance
Andrea Henkel (-Burke),F,28.0,159.0,49.0,Germany,GER,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 15 kilometres
Stanislav Jaseko,M,25.0,192.0,95.0,Slovakia,SVK,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey
Vladimir Vladimirovich Portnoy,M,29.0,168.0,69.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Pommelled Horse
Diana Bianchedi,F,22.0,158.0,46.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Team"
Lyudmila Stepanovna Buldakova (Meshcheryakova-),F,_N0,171.0,66.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Women's Volleyball
Kathrin Unterwurzacher,F,24.0,173.0,63.0,Austria,AUT,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight
Paul Rasamimanana,M,26.0,170.0,67.0,Madagascar,MAD,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Welterweight
Louise Jhncke (-Tjrnqvist),F,24.0,175.0,70.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
Gaetano Tosto,M,32.0,158.0,56.0,Italy,ITA,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Flyweight
Adriano Manuel Santos Niz,M,19.0,181.0,73.0,Portugal,POR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Sandra Sassine,F,28.0,170.0,62.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's Sabre, Individual"
Park Ju-Bong,M,31.0,182.0,68.0,South Korea-2,KOR,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Mixed Doubles
Aki Takayama,F,22.0,165.0,54.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Synchronized Swimming,Synchronized Swimming Women's Duet
Barry John Cheales,M,21.0,177.0,68.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Team All-Around
Kauko Antero Hnninen,M,34.0,183.0,86.0,Finland,FIN,1964 Summer,1964,Summer,Tokyo,_N22,Rowing Men's Coxed Fours
Benito Rigoni,M,27.0,181.0,87.0,Italy-2,ITA,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four
Pavel Ivanovich Kavetsky,M,21.0,183.0,74.0,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual"
Zygmunt Kawecki,M,29.0,179.0,73.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Sabre, Team"
David Nkoua,M,22.0,170.0,70.0,Congo (Brazzaville),CGO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay
Maksymilian Makowiak,M,29.0,174.0,75.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey
"Deborah ""Debbie"" Knox",F,33.0,167.0,66.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling
Iva Tepeshanova,F,17.0,165.0,43.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual
Khaled El-Farej,M,26.0,155.0,48.0,Syria,SYR,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Greco-Roman"
Jos Luis lava Quintana,M,28.0,179.0,87.0,Spain,ESP,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
John Phillips Naber,M,20.0,198.0,88.0,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Bistra Stefanova Gospodinova,F,22.0,168.0,60.0,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay
Karel Knesl,M,22.0,183.0,81.0,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football
"Roderick Fitzgerald ""Rod"" Gavin",M,27.0,177.0,68.0,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
Yasunori Tanabe,M,25.0,188.0,72.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights
Peter Foster,M,28.0,181.0,80.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
Julia Helen Bleasdale,F,30.0,167.0,46.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 5,000 metres"
"David L. ""Dave"" Romansky",M,30.0,188.0,76.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 50 kilometres Walk
Gennady Ivanovich Androsov,M,17.0,169.0,61.0,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Swimming,"Swimming Men's 1,500 metres Freestyle"
Hatem Ghoula,M,35.0,179.0,68.0,Tunisia,TUN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk
Manon Bornholdt (-Eigenherr),F,18.0,168.0,62.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's Long Jump
Larisa Nikolayevna Tsaryova,F,17.0,172.0,56.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay
Jeinkler Ernesto Aguirre Manso,M,18.0,165.0,57.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Platform
Francis Reppelin,M,22.0,171.0,62.0,France,FRA,1992 Winter,1992,Winter,Albertville,Nordic Combined,Nordic Combined Men's Team
Heinrich Schneidereit,M,21.0,170.0,82.0,Germany,GER,1906 Summer,1906,Summer,Athina,Weightlifting,"Weightlifting Men's Unlimited, Two Hands"
Joaqun Villalba,M,31.0,175.0,73.0,Spain,ESP,1960 Summer,1960,Summer,Roma,Modern Pentathlon,Modern Pentathlon Men's Individual
Michel De Saedeleer,M,23.0,179.0,66.0,Belgium,BEL,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey
Wolfgang Hoppe,M,30.0,181.0,89.0,East Germany-1,GDR,1988 Winter,1988,Winter,Calgary,Bobsleigh,Bobsleigh Men's Four
Mohamed Fahd Al-Bishi,M,23.0,160.0,52.0,Saudi Arabia,KSA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres
Jess Mara Villareal,M,35.0,177.0,62.0,Kalayaan,PHI,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat
Henrik Andr Sole Christiansen (-Sole-Warbo),M,27.0,175.0,75.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 5,000 metres"
"Nicholas ""Nick"" Ovett",M,21.0,172.0,65.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Luge,Luge Mixed (Men)'s Doubles
Katharina Rensch (-Schirmer),F,15.0,159.0,45.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Uneven Bars
Marie Riou,F,30.0,171.0,68.0,France,FRA,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat
Smiljana Marinovi,F,26.0,176.0,60.0,Croatia,CRO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Breaststroke
Manuela Di Centa,F,25.0,164.0,55.0,Italy,ITA,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres
Ailen Valente,F,20.0,167.0,58.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam
Krzysztof Pywaczyk,M,30.0,186.0,83.0,Poland,POL,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay
Lisa Alexander,F,27.0,172.0,58.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team
"Tamio ""Tommy"" Kono",M,22.0,167.0,74.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Lightweight
Shiho Kusunose,F,28.0,161.0,57.0,Japan,JPN,1998 Winter,1998,Winter,Nagano,Speed Skating,Speed Skating Women's 500 metres
Uro Pavlovi,M,29.0,178.0,83.0,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom
Lars Ove Gunnarsson,M,34.0,177.0,93.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
Panagiotis Poikilidis,M,19.0,188.0,120.0,Greece,GRE,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
Katja Seizinger (-Weber),F,19.0,171.0,64.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Giant Slalom
Olena Ivanivna Ronzhyna-Morozova,F,33.0,184.0,76.0,_N29,UKR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls
Pter Bacsa,M,25.0,188.0,95.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
Tanyu Khristov Kiryakov,M,25.0,182.0,90.0,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres"
"Ursula ""Uschi"" Disl",F,31.0,163.0,57.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 10 kilometres Pursuit
Nadia Elena Comneci (-Conner),F,18.0,162.0,45.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Floor Exercise
Ewald Hammes,M,22.0,180.0,78.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Football,Football Men's Football
Tamara Ivanovna Manina,F,22.0,162.0,56.0,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Horse Vault
Hermann Salomon,M,30.0,183.0,88.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Javelin Throw
Ali Enver Adakan,M,27.0,186.0,100.0,Turkey,TUR,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's One Person Dinghy
Steven Chungu,M,23.0,163.0,57.0,Zambia,ZAM,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Featherweight
Andrew Clifton Nicholson,M,22.0,182.0,78.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
Pere Guerrero Torrecilla,M,19.0,171.0,63.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, Slalom"
tefan Matlk,M,30.0,176.0,72.0,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football
George Karrys,M,30.0,180.0,82.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Curling,Curling Men's Curling
"Ann Jennifer Francis ""Jennie"" Loriston-Clarke (Bullen-)",F,45.0,172.0,65.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Team"
Aleksandar Aleksandrov,M,24.0,195.0,85.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball
Maja Savi,F,36.0,176.0,66.0,Montenegro,MNE,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball
Vasily Pavlovich Rochev,M,28.0,178.0,66.0,Soviet Union,URS,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres
